kalimat,label
duit masuk 5.000.000,pemasukan
1 juta untuk transfer nasi goreng,pengeluaran
klien uang kembali 5.000.000,pemasukan
keluar uang buku 100k,pengeluaran
tarik tunai buku 20rb,pengeluaran
donatur dikasih 100k,pemasukan
100k untuk donasi keluar baju,pengeluaran
tarik tunai 5000,pengeluaran
transfer 10 ribu,pengeluaran
10 ribu untuk keluar uang game online,pengeluaran
menang 10 ribu,pemasukan
uang kembali 100k,pemasukan
250.000 buat nasi goreng,pengeluaran
1 juta buat wifi,pengeluaran
250.000 dari freelance sebagai menang,pemasukan
duit masuk 1 juta,pemasukan
1 juta dari jualan online sebagai gaji,pemasukan
trading gaji 5.000.000,pemasukan
20rb buat sepatu,pengeluaran
transfer 50.000,pengeluaran
5.000.000 untuk narik uang mobil,pengeluaran
freelance gaji 50.000,pemasukan
duit masuk 10 ribu,pemasukan
jualan online bonus 1 juta,pemasukan
menang uang 250.000 dari toko,pemasukan
750 ribu untuk habis untuk mobil,pengeluaran
keluar duit 2jt,pengeluaran
uang kembali uang 750 ribu dari klien,pemasukan
keluar uang 750 ribu,pengeluaran
duit masuk 10 ribu,pemasukan
spend nasi goreng 750 ribu,pengeluaran
10 ribu untuk ongkos nasi goreng,pengeluaran
orang tua dikasih 50.000,pemasukan
gaji 750 ribu,pemasukan
keluar duit 5000,pengeluaran
proyek gaji 100k,pemasukan
hadiah 250.000,pemasukan
dikasih 100k,pemasukan
5.000.000 untuk sumbangan es kopi,pengeluaran
duit masuk 10 ribu,pemasukan
menjual uang 1 juta dari donatur,pemasukan
duit masuk 2jt,pemasukan
250.000 buat air,pengeluaran
narik uang motor 10 ribu,pengeluaran
keluar duit 20rb,pengeluaran
750 ribu dari kerja part-time sebagai menang,pemasukan
donasi masuk uang 20rb dari konten youtube,pemasukan
bonus uang 250.000 dari proyek,pemasukan
klien dikasih 100k,pemasukan
250.000 untuk isi saldo wifi,pengeluaran
bonus 5.000.000,pemasukan
sumbangan es kopi 10 ribu,pengeluaran
2jt buat baju,pengeluaran
gaji uang 100k dari trading,pemasukan
hadiah uang 1 juta dari konten youtube,pemasukan
20rb dari bos sebagai uang kembali,pemasukan
10 ribu untuk habis untuk komputer,pengeluaran
5000 untuk top up token listrik,pengeluaran
5.000.000 buat air,pengeluaran
250.000 untuk ongkos jajanan,pengeluaran
keluar duit 50.000,pengeluaran
5.000.000 untuk donasi keluar wifi,pengeluaran
keluar duit 5.000.000,pengeluaran
uang kembali uang 100k dari trading,pemasukan
20rb untuk membeli tas,pengeluaran
100k untuk beli handphone,pengeluaran
duit masuk 5000,pemasukan
kerja part-time pemasukan 750 ribu,pemasukan
pengeluaran sepatu 10 ribu,pengeluaran
menjual 750 ribu,pemasukan
gaji uang 5000 dari teman,pemasukan
trading komisi 50.000,pemasukan
menerima 250.000,pemasukan
100k untuk donasi keluar tas,pengeluaran
5.000.000 untuk transfer nasi goreng,pengeluaran
duit masuk 5.000.000,pemasukan
duit masuk 50.000,pemasukan
donatur menerima 250.000,pemasukan
dikasih 750 ribu,pemasukan
biaya baju 1 juta,pengeluaran
donasi masuk uang 5.000.000 dari endorse,pemasukan
keluar duit 50.000,pengeluaran
pendapatan uang 5000 dari klien,pemasukan
hasil jual uang 2jt dari toko,pemasukan
donatur menerima 1 juta,pemasukan
2jt buat tas,pengeluaran
event dapat 5000,pemasukan
duit masuk 10 ribu,pemasukan
donasi keluar air 5000,pengeluaran
bonus 10 ribu,pemasukan
pengeluaran 5.000.000,pengeluaran
keluar duit 1 juta,pengeluaran
20rb buat nasi goreng,pengeluaran
1 juta untuk membeli tas,pengeluaran
isi saldo BBM 1 juta,pengeluaran
top up 5000,pengeluaran
membeli token listrik 5.000.000,pengeluaran
donasi keluar ayam geprek 50.000,pengeluaran
proyek pendapatan 10 ribu,pemasukan
keluar duit 1 juta,pengeluaran
tarik tunai paket data 250.000,pengeluaran
50.000 untuk habis untuk sepatu,pengeluaran
keluar duit 5000,pengeluaran
2jt buat sepatu,pengeluaran
duit masuk 750 ribu,pemasukan
habis untuk BBM 750 ribu,pengeluaran
membeli wifi 10 ribu,pengeluaran
menjual uang 50.000 dari trading,pemasukan
pendapatan 5000,pemasukan
narik uang jajanan 10 ribu,pengeluaran
dikasih 10 ribu,pemasukan
transfer masuk uang 50.000 dari teman,pemasukan
pengeluaran 250.000,pengeluaran
uang kembali uang 5.000.000 dari teman,pemasukan
duit masuk 750 ribu,pemasukan
2jt untuk ongkos handphone,pengeluaran
keluar uang 750 ribu,pengeluaran
20rb untuk biaya paket data,pengeluaran
toko hasil jual 5.000.000,pemasukan
duit masuk 20rb,pemasukan
10 ribu untuk spend pulsa,pengeluaran
donatur menang 10 ribu,pemasukan
100k buat paket data,pengeluaran
endorse dikasih 1 juta,pemasukan
donasi keluar 100k,pengeluaran
1 juta dari klien sebagai uang kembali,pemasukan
duit masuk 100k,pemasukan
biaya parkir 20rb,pengeluaran
100k untuk sumbangan sepatu,pengeluaran
tarik tunai 50.000,pengeluaran
1 juta buat buku,pengeluaran
duit masuk 750 ribu,pemasukan
donasi masuk 1 juta,pemasukan
1 juta untuk narik uang sepatu,pengeluaran
250.000 buat ayam geprek,pengeluaran
50.000 untuk spend komputer,pengeluaran
investasi transfer masuk 100k,pemasukan
jualan online dapat 50.000,pemasukan
ditransfer uang 2jt dari orang tua,pemasukan
hadiah 100k,pemasukan
kirim parkir 250.000,pengeluaran
menang uang 5000 dari konten youtube,pemasukan
duit masuk 100k,pemasukan
keluar duit 1 juta,pengeluaran
transfer masuk uang 100k dari konten youtube,pemasukan
2jt buat handphone,pengeluaran
event dikasih 50.000,pemasukan
5.000.000 buat sepatu,pengeluaran
top up pulsa 2jt,pengeluaran
tarik tunai 750 ribu,pengeluaran
isi saldo 750 ribu,pengeluaran
pengeluaran es kopi 5000,pengeluaran
kerja part-time menang 50.000,pemasukan
duit masuk 100k,pemasukan
bayar 1 juta,pengeluaran
isi saldo 2jt,pengeluaran
2jt buat tas,pengeluaran
2jt dari event sebagai menerima,pemasukan
menjual 50.000,pemasukan
2jt buat sepatu,pengeluaran
2jt buat baju,pengeluaran
dapat uang 2jt dari endorse,pemasukan
klien menjual 2jt,pemasukan
hadiah uang 10 ribu dari konten youtube,pemasukan
